I just stumbled onto this place and decided to have dinner. The best of both vegetarian and Italian food. Whoever owns this place has a passion for food. A lit...,4.0,Veggitalia Pizza & Osteria Vegetariana,5.0
desconocido,40.4,Oaxaca,40.4
desconocido,40.4,Oaxaca,40.4
desconocido,40.4,Oaxaca,40.4
desconocido,40.4,Oaxaca,40.4
desconocido,40.4,Oaxaca,40.4
desconocido,40.4,Oaxaca,40.4
desconocido,40.4,Oaxaca,40.4
desconocido,40.4,Oaxaca,40.4
desconocido,40.4,Oaxaca,40.4
desconocido,40.4,Oaxaca,40.4
desconocido,40.4,Oaxaca,40.4
desconocido,40.4,Oaxaca,40.4
desconocido,40.4,Oaxaca,40.4
desconocido,40.4,Oaxaca,40.4
desconocido,40.4,Oaxaca,40.4
desconocido,40.4,Oaxaca,40.4
"This place has a great location, two blocks from the Zocalo and walking distance to most other attractions in Oaxaca. The accommodations are more than adequate-...",4.0,Hierba de Conejo Hostel,4.0
We just stumbled onto this restaurant and were pleasantly surprised. The food and service were excellent. Good size portions . The server spoke excellent Englis...,5.0,Napfenyes Restaurant and Confectionery,4.5
"It is worth the trip to La Tovar's Springs in San Blas, Mexico, even if you are not a birdwatcher. I went there to do some birding and was not disappointed. I ...",5.0,Manantial La Tovara,4.5
