"Cold beer, rum punch, island breeze under the palms! Great music by Raj and friendly service by Cocalow (sp?). The coconut conch was delicious!",5.0,Bugaloo's,4.5
"Perfect ocean breeze, pretty view and tasty food, topped by refreshing rum punch. The hostess Rashanna was delightful and added to the experience. Didn’t give 5...",4.0,da Conch Shack,4.5
"Lunch and cold drinks in the shade with a nice breeze. Fried grouper, jerk and barbecue chicken - all excellent. Owner Michael stopped by for nice chat with his...",5.0,Chinson's Grill Shack,4.5
Hadn’t eaten here before and wanted sunset dinner on the river. Great location and lovely views! We were told they were short on waitstaff so we could relax in ...,3.0,The George on the Riverwalk,4.0
"Met friends here for dinner and all were extremely pleased with our meals. Blackened Mahi with jalapeño relish was delicious, accompanied by yummy cheesy grits ...",5.0,Crabby Abby's Bar & Grill,4.0
"In the world of chain restaurants, it is nice to find a locally owned place to eat. We love to sit outside on the patio when the weather is nice and in the past...",4.0,Bandana's Family Restaurant & Grille,4.0
Hired a captain out of Punta de Mita for 2 hr tour of the Marietas which we enjoyed very much (Capt. Clementin). First stop was Playa de Amour which was beautif...,4.0,Islas Marietas,4.5
"Absolutely perfect! Just stumbled on it and had delicious seafood platter on the sand spit - very romantic. Cozy dining, nice sunset, good tequila, and serenade...",5.0,Margarita's Restaurant & Bar,4.5
desconocido,40.4,Bucerías,40.4
desconocido,40.4,Bucerías,40.4
desconocido,40.4,Bucerías,40.4
desconocido,40.4,Bucerías,40.4
desconocido,40.4,Bucerías,40.4
desconocido,40.4,Bucerías,40.4
desconocido,40.4,Bucerías,40.4
desconocido,40.4,Bucerías,40.4
desconocido,40.4,Bucerías,40.4
desconocido,40.4,Bucerías,40.4
desconocido,40.4,Bucerías,40.4
desconocido,40.4,Bucerías,40.4
desconocido,40.4,Bucerías,40.4
desconocido,40.4,Bucerías,40.4
desconocido,40.4,Bucerías,40.4
desconocido,40.4,Bucerías,40.4
desconocido,40.4,Bucerías,40.4
desconocido,40.4,Bucerías,40.4
desconocido,40.4,Bucerías,40.4
desconocido,40.4,Bucerías,40.4
desconocido,40.4,Bucerías,40.4
desconocido,40.4,Bucerías,40.4
desconocido,40.4,Bucerías,40.4
desconocido,40.4,Bucerías,40.4
desconocido,40.4,Bucerías,40.4
