Index,Gender,Place,Location,Date,Type,Label
Usuario1221,Male,Islas Marietas,Occidente,diciembre de 2013,Family,5
Usuario4,Female,Bahia de Matanchen,Centro,abril de 2019,Friends,5
Usuario9,Male,Bahia de Matanchen,Noreste,diciembre de 2014,Family,5
Usuario870,Male,Islas Marietas,Estados Unidos,diciembre de 2014,Alone,5
Usuario616,Female,Islas Marietas,Centro,julio de 2014,Couple,5
Usuario2121,Male,The Jazz Foundation,Estados Unidos,mayo de 2016,Family,5
Usuario704,Female,Islas Marietas,Centro,enero de 2015,Couple,5
Usuario1079,Male,Islas Marietas,Noreste,enero de 2016,Family,5
Usuario1526,Male,Manantial La Tovara,Estados Unidos,diciembre de 2018,Couple,5
Usuario492,Male,Islas Marietas,Centro,marzo de 2016,Family,5
Usuario765,Male,Islas Marietas,Estados Unidos,mayo de 2015,Business,5
Usuario50,Female,Bucerias Art Walk,Canada,febrero de 2012,Couple,5
Usuario2151,Female,The Jazz Foundation,Estados Unidos,abril de 2016,Family,5
Usuario1821,Female,Playa Los Muertos,Centro,febrero de 2016,Alone,5
Usuario1178,Male,Islas Marietas,Noroeste,abril de 2016,Couple,5
Usuario1770,Female,Playa Los Muertos,Argentina,julio de 2017,Alone,5
Usuario1748,Female,Playa El Anclote,Estados Unidos,abril de 2016,Alone,5
Usuario1809,Male,Playa Los Muertos,Centro,julio de 2018,Family,5
Usuario1413,N/I,Islas Marietas,Occidente,julio de 2015,Family,5
Usuario2027,Female,Splash Water Park,Occidente,octubre de 2014,Friends,5
Usuario669,Female,Islas Marietas,Centro,octubre de 2016,Couple,5
Usuario1910,Female,Playa Los Muertos,Noreste,mayo de 2017,Couple,5
Usuario849,Male,Islas Marietas,Estados Unidos,junio de 2015,Friends,5
Usuario544,Male,Islas Marietas,Centro,marzo de 2016,Couple,5
Usuario591,Female,Islas Marietas,Centro,mayo de 2016,Friends,5
Usuario46,Female,Bucerias Art Walk,Canada,marzo de 2012,Couple,5
Usuario647,Female,Islas Marietas,Centro,marzo de 2014,Couple,5
Usuario821,Male,Islas Marietas,Estados Unidos,abril de 2015,Friends,5
Usuario105,Male,Bucerias Art Walk,Occidente,abril de 2014,Couple,5
Usuario624,Female,Islas Marietas,Centro,marzo de 2017,Friends,5
Usuario243,Male,Isla de Coral,Centro,noviembre de 2016,Family,5
Usuario1529,Female,Manantial La Tovara,Estados Unidos,enero de 2020,Friends,5
Usuario120,Male,Centro Historico de Tepic,Estados Unidos,diciembre de 2016,Couple,5
Usuario1117,Male,Islas Marietas,Noreste,septiembre de 2016,Friends,5
Usuario489,Male,Islas Marietas,Centro,julio de 2015,Family,5
Usuario268,Female,Isla de Coral,Occidente,septiembre de 2018,Family,5
Usuario2043,Male,The Jazz Foundation,Canada,febrero de 2017,Family,5
Usuario1098,Male,Islas Marietas,Noreste,julio de 2014,Friends,5
Usuario1339,Female,Islas Marietas,Occidente,abril de 2017,Couple,5
Usuario158,Female,Cerro de la Contaduria,Occidente,septiembre de 2015,Couple,5
Usuario1238,Male,Islas Marietas,Occidente,septiembre de 2015,Family,5
Usuario1450,Male,Islas Marietas,Sureste,octubre de 2016,Couple,5
Usuario1356,Female,Islas Marietas,Occidente,agosto de 2017,Family,5
Usuario1940,Male,Playa Los Muertos,Occidente,marzo de 2019,Family,5
Usuario1676,Female,Playa Destiladeras,Estados Unidos,noviembre de 2016,Family,5
Usuario1502,Male,Manantial La Tovara,Canada,diciembre de 2015,Friends,5
Usuario1161,Female,Islas Marietas,Noreste,agosto de 2016,Family,5
Usuario1174,Male,Islas Marietas,Noroeste,agosto de 2017,Couple,5
Usuario1162,Female,Islas Marietas,Noreste,junio de 2015,Friends,5
Usuario1092,Male,Islas Marietas,Noreste,febrero de 2017,Alone,5
Usuario632,Female,Islas Marietas,Centro,noviembre de 2014,Family,5
Usuario1142,Female,Islas Marietas,Noreste,mayo de 2017,Friends,5
Usuario1727,Female,Playa Destiladeras,Occidente,diciembre de 2017,Friends,5
Usuario622,Female,Islas Marietas,Centro,enero de 2016,Friends,5
Usuario1260,Male,Islas Marietas,Occidente,mayo de 2014,Friends,5
Usuario1574,Female,Manantial La Tovara,Occidente,diciembre de 2018,Friends,5
Usuario1731,Female,Playa Destiladeras,Occidente,octubre de 2016,Friends,5
Usuario1348,Female,Islas Marietas,Occidente,julio de 2014,Family,5
Usuario1926,Male,Playa Los Muertos,Occidente,julio de 2016,Family,5
Usuario1783,Male,Playa Los Muertos,Canada,febrero de 2016,Friends,5
Usuario1152,Female,Islas Marietas,Noreste,julio de 2014,Family,5
Usuario130,Female,Centro Historico de Tepic,Venezuela,mayo de 2018,Business,5
Usuario1416,Female,Islas Marietas,Panama,julio de 2014,Friends,5
Usuario205,Male,Galerias Vallarta,Occidente,marzo de 2018,Friends,5
Usuario1631,Female,Playa Destiladeras,Canada,enero de 2015,Alone,5
Usuario1101,Male,Islas Marietas,Noreste,marzo de 2016,Friends,5
Usuario665,Female,Islas Marietas,Centro,julio de 2018,Couple,5
Usuario1740,Male,Playa El Anclote,Centro,enero de 2017,Friends,5
Usuario575,Male,Islas Marietas,Centro,enero de 2016,Couple,5
Usuario2240,Female,Santuario de Cocodrilos El Cora,Canada,diciembre de 2018,Family,5
Usuario1889,Female,Playa Los Muertos,Estados Unidos,enero de 2016,Friends,5
