Index;Gender;Place;Location;Date;Type;Label;Description;Comentario;Puntuacion;Lugar;Puntuacion Global;Etiqueta;SentimientoComentario
Usuario1221;Male;Islas Marietas;Occidente;2013-12;Family;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Las Marietas son una experiencia increible pero complicada: a veces el mar no coopera y tiene o medusas o marea alta/oleaje que impide/dificulta entrar a la isl...;5.0;Islas Marietas;4.5;Mexicano;0.0
Usuario870;Male;Islas Marietas;Estados Unidos;2014-12;Alone;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Took a trip to Marietas with friends and family last week and although I'm perfectly happy to have done it, I wouldn't do it again. The swim into the hidden be...;2.0;Islas Marietas;4.5;Extranjero;-0.5
Usuario616;Female;Islas Marietas;Centro;2014-07;Couple;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Las Marietas son una experiencia increible pero complicada: a veces el mar no coopera y tiene o medusas o marea alta/oleaje que impide/dificulta entrar a la isl...;5.0;Islas Marietas;4.5;Mexicano;0.0
Usuario1079;Male;Islas Marietas;Noreste;2016-01;Family;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Las Marietas son una experiencia increible pero complicada: a veces el mar no coopera y tiene o medusas o marea alta/oleaje que impide/dificulta entrar a la isl...;5.0;Islas Marietas;4.5;Mexicano;0.0
Usuario492;Male;Islas Marietas;Centro;2016-03;Family;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Uno de los lugares más bellos del mundo. Hay que reservar. Por la demanda que hay solo dejan entrar a 100 personas diarias;5.0;Islas Marietas;4.5;Mexicano;1.0
Usuario1178;Male;Islas Marietas;Noroeste;2016-04;Couple;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Es una isla en altamar, y accedes a su principal sitio de atracción nadando por cueva desde el mar, concluyendo en una especie de cráter donde puedes hacer snor...;5.0;Islas Marietas;4.5;Mexicano;0.5
Usuario669;Female;Islas Marietas;Centro;2016-10;Couple;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Esta bonito siendo un lugar creado por la misma naturaleza necesitas saber nadar un poco porque si cuesta trabajo entrar y no tengas panico mucha gente con la q...;4.0;Islas Marietas;4.5;Mexicano;0.5
Usuario821;Male;Islas Marietas;Estados Unidos;2015-04;Friends;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;"The ""hidden beach"" as it is more popularly known is incredible. Imagine going to a restricted and protected island that you can only approach by boat. But now y...";5.0;Islas Marietas;4.5;Extranjero;1.0
Usuario624;Female;Islas Marietas;Centro;2017-03;Friends;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;"El paquete los compramos vía telefonica con Vallarta Adventures; este día fue el mejor de todo el viaje. El personal siempre muy atento, amable, divertido y sup...";5.0;Islas Marietas;4.5;Mexicano;1.0
Usuario1117;Male;Islas Marietas;Noreste;2016-09;Friends;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Este lugar es hermoso por si mismo. Un lugar que nacio de rocas volcanicas y que cuenta con una gran vegetacion sumbmarina. Es totalmente recomendable para quel...;5.0;Islas Marietas;4.5;Mexicano;1.0
Usuario489;Male;Islas Marietas;Centro;2015-07;Family;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Las Marietas son una experiencia increible pero complicada: a veces el mar no coopera y tiene o medusas o marea alta/oleaje que impide/dificulta entrar a la isl...;5.0;Islas Marietas;4.5;Mexicano;0.0
