Index;Gender;Place;Location;Date;Type;Label
Usuario1221;Male;Islas Marietas;Occidente;2013-12;Family;5
Usuario4;Female;Bahia de Matanchen;Centro;2019-04;Friends;5
Usuario9;Male;Bahia de Matanchen;Noreste;2014-12;Family;5
Usuario870;Male;Islas Marietas;Estados Unidos;2014-12;Alone;5
Usuario616;Female;Islas Marietas;Centro;2014-07;Couple;5
Usuario2121;Male;The Jazz Foundation;Estados Unidos;2016-05;Family;5
Usuario704;Female;Islas Marietas;Centro;2015-01;Couple;5
Usuario1079;Male;Islas Marietas;Noreste;2016-01;Family;5
Usuario1526;Male;Manantial La Tovara;Estados Unidos;2018-12;Couple;5
Usuario492;Male;Islas Marietas;Centro;2016-03;Family;5
Usuario765;Male;Islas Marietas;Estados Unidos;2015-05;Business;5
Usuario50;Female;Bucerias Art Walk;Canada;2012-02;Couple;5
Usuario2151;Female;The Jazz Foundation;Estados Unidos;2016-04;Family;5
Usuario1821;Female;Playa Los Muertos;Centro;2016-02;Alone;5
Usuario1178;Male;Islas Marietas;Noroeste;2016-04;Couple;5
Usuario1770;Female;Playa Los Muertos;Argentina;2017-07;Alone;5
Usuario1748;Female;Playa El Anclote;Estados Unidos;2016-04;Alone;5
Usuario1809;Male;Playa Los Muertos;Centro;2018-07;Family;5
Usuario1413;N/I;Islas Marietas;Occidente;2015-07;Family;5
Usuario2027;Female;Splash Water Park;Occidente;2014-10;Friends;5
Usuario669;Female;Islas Marietas;Centro;2016-10;Couple;5
Usuario1910;Female;Playa Los Muertos;Noreste;2017-05;Couple;5
Usuario849;Male;Islas Marietas;Estados Unidos;2015-06;Friends;5
Usuario544;Male;Islas Marietas;Centro;2016-03;Couple;5
Usuario591;Female;Islas Marietas;Centro;2016-05;Friends;5
Usuario46;Female;Bucerias Art Walk;Canada;2012-03;Couple;5
Usuario647;Female;Islas Marietas;Centro;2014-03;Couple;5
Usuario821;Male;Islas Marietas;Estados Unidos;2015-04;Friends;5
Usuario105;Male;Bucerias Art Walk;Occidente;2014-04;Couple;5
Usuario624;Female;Islas Marietas;Centro;2017-03;Friends;5
Usuario243;Male;Isla de Coral;Centro;2016-11;Family;5
Usuario1529;Female;Manantial La Tovara;Estados Unidos;2020-01;Friends;5
Usuario120;Male;Centro Historico de Tepic;Estados Unidos;2016-12;Couple;5
Usuario1117;Male;Islas Marietas;Noreste;2016-09;Friends;5
Usuario489;Male;Islas Marietas;Centro;2015-07;Family;5
Usuario268;Female;Isla de Coral;Occidente;2018-09;Family;5
Usuario2043;Male;The Jazz Foundation;Canada;2017-02;Family;5
Usuario1098;Male;Islas Marietas;Noreste;2014-07;Friends;5
Usuario1339;Female;Islas Marietas;Occidente;2017-04;Couple;5
Usuario158;Female;Cerro de la Contaduria;Occidente;2015-09;Couple;5
Usuario1238;Male;Islas Marietas;Occidente;2015-09;Family;5
Usuario1450;Male;Islas Marietas;Sureste;2016-10;Couple;5
Usuario1356;Female;Islas Marietas;Occidente;2017-08;Family;5
Usuario1940;Male;Playa Los Muertos;Occidente;2019-03;Family;5
Usuario1676;Female;Playa Destiladeras;Estados Unidos;2016-11;Family;5
Usuario1502;Male;Manantial La Tovara;Canada;2015-12;Friends;5
Usuario1161;Female;Islas Marietas;Noreste;2016-08;Family;5
Usuario1174;Male;Islas Marietas;Noroeste;2017-08;Couple;5
Usuario1162;Female;Islas Marietas;Noreste;2015-06;Friends;5
Usuario1092;Male;Islas Marietas;Noreste;2017-02;Alone;5
Usuario632;Female;Islas Marietas;Centro;2014-11;Family;5
Usuario1142;Female;Islas Marietas;Noreste;2017-05;Friends;5
Usuario1727;Female;Playa Destiladeras;Occidente;2017-12;Friends;5
Usuario622;Female;Islas Marietas;Centro;2016-01;Friends;5
Usuario1260;Male;Islas Marietas;Occidente;2014-05;Friends;5
Usuario1574;Female;Manantial La Tovara;Occidente;2018-12;Friends;5
Usuario1731;Female;Playa Destiladeras;Occidente;2016-10;Friends;5
Usuario1348;Female;Islas Marietas;Occidente;2014-07;Family;5
Usuario1926;Male;Playa Los Muertos;Occidente;2016-07;Family;5
Usuario1783;Male;Playa Los Muertos;Canada;2016-02;Friends;5
Usuario1152;Female;Islas Marietas;Noreste;2014-07;Family;5
Usuario130;Female;Centro Historico de Tepic;Venezuela;2018-05;Business;5
Usuario1416;Female;Islas Marietas;Panama;2014-07;Friends;5
Usuario205;Male;Galerias Vallarta;Occidente;2018-03;Friends;5
Usuario1631;Female;Playa Destiladeras;Canada;2015-01;Alone;5
Usuario1101;Male;Islas Marietas;Noreste;2016-03;Friends;5
Usuario665;Female;Islas Marietas;Centro;2018-07;Couple;5
Usuario1740;Male;Playa El Anclote;Centro;2017-01;Friends;5
Usuario575;Male;Islas Marietas;Centro;2016-01;Couple;5
Usuario2240;Female;Santuario de Cocodrilos El Cora;Canada;2018-12;Family;5
Usuario1889;Female;Playa Los Muertos;Estados Unidos;2016-01;Friends;5
Usuario676;Female;Islas Marietas;Centro;2015-06;Friends;5
Usuario1296;Male;Islas Marietas;Occidente;2014-12;Friends;5
Usuario1383;Female;Islas Marietas;Occidente;2014-07;Alone;5
Usuario2174;Female;The Jazz Foundation;Noroeste;2014-07;Family;5
Usuario1121;Female;Islas Marietas;Noreste;2015-09;Family;5
Usuario1530;Female;Manantial La Tovara;Estados Unidos;2016-11;Family;5
Usuario1411;Female;Islas Marietas;Occidente;2016-05;Family;5
Usuario406;Female;Islas Marietas;Canada;2016-02;Friends;5
Usuario1391;Female;Islas Marietas;Occidente;2014-12;Couple;5
Usuario971;Female;Islas Marietas;Estados Unidos;2016-01;Friends;5
Usuario249;Female;Isla de Coral;Centro;2017-08;Friends;5
Usuario691;Female;Islas Marietas;Centro;2015-07;Family;5
Usuario522;Male;Islas Marietas;Centro;2016-08;Couple;5
Usuario1379;Female;Islas Marietas;Occidente;2015-12;Alone;5
Usuario1275;Male;Islas Marietas;Occidente;2018-02;Family;5
Usuario1845;Male;Playa Los Muertos;Estados Unidos;2016-05;Couple;5
Usuario478;Male;Islas Marietas;Centro;2015-12;Family;5
Usuario1623;Male;Playa Destiladeras;Canada;2015-02;Friends;5
Usuario1537;Male;Manantial La Tovara;Noroeste;2015-12;Family;5
Usuario551;Male;Islas Marietas;Centro;2014-10;Business;5
Usuario1086;Male;Islas Marietas;Noreste;2014-10;Family;5
Usuario2208;Female;The Jazz Foundation;Occidente;2018-03;Family;5
Usuario650;Female;Islas Marietas;Centro;2018-08;Alone;5
Usuario1326;Female;Islas Marietas;Occidente;2013-03;Couple;5
Usuario1472;Female;Islas Marietas;Sureste;2015-01;Business;5
Usuario1051;Female;Islas Marietas;Estados Unidos;2015-02;Friends;5
Usuario415;Female;Islas Marietas;Canada;2015-03;Friends;5
Usuario292;Male;Islas Marietas;Argentina;2017-01;Couple;5
Usuario2155;Female;The Jazz Foundation;Estados Unidos;2016-08;Family;5
Usuario1377;Female;Islas Marietas;Occidente;2016-01;Friends;5
Usuario1564;Female;Manantial La Tovara;Occidente;2018-12;Family;5
Usuario180;Male;Galerias Vallarta;Centro;2016-11;Family;5
Usuario1091;Male;Islas Marietas;Noreste;2015-03;Couple;5
Usuario1517;Female;Manantial La Tovara;Centro;2019-03;Family;5
Usuario1758;Female;Playa El Anclote;Occidente;2015-09;Friends;5
Usuario56;Female;Bucerias Art Walk;Canada;2016-01;Couple;5
Usuario1944;Male;Playa Los Muertos;Occidente;2019-01;Friends;5
Usuario946;Female;Islas Marietas;Estados Unidos;2017-04;Family;5
Usuario343;Male;Islas Marietas;Canada;2013-06;Couple;5
Usuario535;Male;Islas Marietas;Centro;2015-06;Couple;5
Usuario612;Female;Islas Marietas;Centro;2017-07;Friends;5
Usuario1473;Female;Islas Marietas;Sureste;2015-02;Family;5
Usuario1907;Female;Playa Los Muertos;Noreste;2016-11;Couple;5
Usuario659;Female;Islas Marietas;Centro;2015-01;Friends;5
Usuario644;Female;Islas Marietas;Centro;2016-03;Family;5
Usuario582;Male;Islas Marietas;Centro;2015-05;Family;5
Usuario1772;Female;Playa Los Muertos;Australia;2015-11;Couple;5
Usuario215;Female;Galerias Vallarta;Occidente;2015-12;Family;5
Usuario1873;Female;Playa Los Muertos;Estados Unidos;2017-06;Couple;5
Usuario2058;Female;The Jazz Foundation;Canada;2013-07;Couple;5
Usuario1708;Male;Playa Destiladeras;Occidente;2016-04;Family;5
Usuario1234;Male;Islas Marietas;Occidente;2015-09;Family;5
Usuario1342;Female;Islas Marietas;Occidente;2015-03;Family;5
Usuario1251;Male;Islas Marietas;Occidente;2015-03;Alone;5
Usuario1533;Female;Manantial La Tovara;Estados Unidos;2015-04;Family;5
Usuario1465;Male;Islas Marietas;Sureste;2016-08;Family;5
Usuario1352;Female;Islas Marietas;Occidente;2014-12;Family;5
Usuario145;Male;Cerro de la Contaduria;Occidente;2015-12;Family;5
Usuario1283;Male;Islas Marietas;Occidente;2018-01;Business;5
Usuario1905;Female;Playa Los Muertos;Noreste;2016-05;Couple;5
Usuario1184;Male;Islas Marietas;Noroeste;2016-04;Friends;5
Usuario1955;Female;Playa Los Muertos;Occidente;2016-04;Family;5
Usuario2260;Male;Santuario de Cocodrilos El Cora;Occidente;2015-07;Friends;5
Usuario605;Female;Islas Marietas;Centro;2013-03;Family;5
Usuario541;Male;Islas Marietas;Centro;2014-10;Friends;5
