Usuario;Comentario;Puntuacion;Lugar;Puntuacion Global
Usuario54;Ostello Bello Grande is quite simple without comparition. Clean, affordable, full of amenities, a lovely place to have an aperitif, close to the station... The ...;5.0;Ostello Bello Grande;4.5
Usuario54;Quite good! I deeply recommend it, a particular highlight is the visit to the last supper alternate, a nice visit from Roman time to modern time.;5.0;FollowMi Around;5.0
Usuario54;Pepe y su familia dan una atención magnifica, y ofrecen tours incomparables. Con un grupo de amigos fuimos a la Isla de San José y estuvo pendiente desde antes ...;5.0;Barbarita Tours;5.0
Usuario54;Cuando uno va de visitas a california por los parques generalmente es difícil escoger debido a la gran oferta. Knotts por ejemplo se ve opacado por Disneylandia...;4.0;Knott's Berry Farm;4.0
Usuario54;Definitivamente el mejor lugar para las fotos de facebook. Los Moais se montan sobre una plataforma de carácter sagrado, por lo que la isla tiene espacios delim...;5.0;Rano Raraku;5.0
Usuario54;Las Marietas son una experiencia increible pero complicada: a veces el mar no coopera y tiene o medusas o marea alta/oleaje que impide/dificulta entrar a la isl...;5.0;Islas Marietas;4.5
Usuario54;Los empleados son de lo más amables y accesibles, la atención muy puntual. Lo mejor: El SPA. Buen precio y Excelente servicios. Ha sido el mejor masaje (escogi...;4.0;Costa Sur Resort & Spa;4.0
Usuario1418;"The trip there on boat #5, the scenery, lunch, the birds and the crew were all fantastic. We signed up for an adventure to the ""Hidden Beach""!!! CLOSED by the g...";2.0;Islas Marietas;4.5
Usuario1418;Older style resort but is very rustic and has a Mexican feel to it. It is very close to all major ammemities (wal-mart) and a short bus or taxi ride to anything...;5.0;Hacienda Buenaventura Hotel & Mexican Charm All Inclusive;4.0
Usuario331;Ostello Bello Grande is quite simple without comparition. Clean, affordable, full of amenities, a lovely place to have an aperitif, close to the station... The ...;5.0;Ostello Bello Grande;4.5
Usuario331;Quite good! I deeply recommend it, a particular highlight is the visit to the last supper alternate, a nice visit from Roman time to modern time.;5.0;FollowMi Around;5.0
Usuario331;Pepe y su familia dan una atención magnifica, y ofrecen tours incomparables. Con un grupo de amigos fuimos a la Isla de San José y estuvo pendiente desde antes ...;5.0;Barbarita Tours;5.0
Usuario331;Cuando uno va de visitas a california por los parques generalmente es difícil escoger debido a la gran oferta. Knotts por ejemplo se ve opacado por Disneylandia...;4.0;Knott's Berry Farm;4.0
Usuario331;Definitivamente el mejor lugar para las fotos de facebook. Los Moais se montan sobre una plataforma de carácter sagrado, por lo que la isla tiene espacios delim...;5.0;Rano Raraku;5.0
Usuario331;Las Marietas son una experiencia increible pero complicada: a veces el mar no coopera y tiene o medusas o marea alta/oleaje que impide/dificulta entrar a la isl...;5.0;Islas Marietas;4.5
Usuario331;Los empleados son de lo más amables y accesibles, la atención muy puntual. Lo mejor: El SPA. Buen precio y Excelente servicios. Ha sido el mejor masaje (escogi...;4.0;Costa Sur Resort & Spa;4.0
Usuario11;El vuelo hizo una conexion en la ciudad de mexico, sirvio para caminar por la terminal y conocerla aunque dure dos horas ahi me parecio excelente ya que no llev...;4.0;Volaris;3.0
