desconocido,40.4,Egipto,40.4
desconocido,40.4,Turquía,40.4
desconocido,40.4,Turquía,40.4
desconocido,40.4,Barcelona,40.4
desconocido,40.4,Barcelona,40.4
desconocido,40.4,Barcelona,40.4
desconocido,40.4,Barcelona,40.4
desconocido,40.4,Canadá,40.4
desconocido,40.4,Canadá,40.4
desconocido,40.4,Canadá,40.4
desconocido,40.4,Canadá,40.4
Estuvimos en Bali a mediados de Noviembre y habiamos contratado con anterioridad los tours 1 (el de templos) y 2 (viaje al interior de la Isla) con ésta compañí...,5.0,Ven a Bali - Guía En Español,5.0
Visita ampliamente recomendada sobre todo cuando empieza a caer la tarde y disminuye un poco el calor. La visita lleva mas o menos unas 2 horas para sacar buen...,5.0,Qutab Minar,4.5
Hicimos un recorrido de 5 dias/4 noches por el triángulo dorado. Llegamos al aeropuerto de Delhi a las 4.45am y el Sr. Harpal (nuestro chofer asignado) estuvo ...,5.0,India Package Tour,5.0
desconocido,40.4,Canadá,40.4
desconocido,40.4,Canadá,40.4
desconocido,40.4,Canadá,40.4
desconocido,40.4,Canadá,40.4
desconocido,40.4,Dubái,40.4
desconocido,40.4,Dubái,40.4
desconocido,40.4,Dubái,40.4
desconocido,40.4,Dubái,40.4
desconocido,40.4,Dubái,40.4
"Fuimos por la noche alrededor de las 9.40pm y tan pronto llegamos y dijimos ""buenas noches"" nos dijo la mujer que estaba recibiendo gente con mala cara LA COCIN...",2.0,Cafe Lotus,3.5
"Había leido opiniones encontradas sobre éste lugar, pero en lo personal resultó ser un imperdible. Si eres amante de las fotos (que finalmente son los recuerdo...",5.0,Bali Swing,4.5
"Esta cueva (aunque algo claustrofóbica en su interior) resulta interesante. En el interior venden refrescos y botana a precios muy accesibles, la visita dura a...",5.0,Elephant Cave,3.5
"Este templo se encuentra a pie caminando desde el centro, el cafe Lotus esta en la entrada y puedes pasar gratuitamente a ver el templo, en mi opinion es mejor ...",5.0,Saraswati Temple,4.0
"una caminata que vale la pena hacer sobre todo por la mañana cuando el calor no está muy fuerte aún, tendrás unas fotos increíbles en medio de la naturaleza",5.0,Campuhan Ridge Walk,4.5
"Vale mucho la pena, hay un columpio y varios nidos para tomar fotografías considerablemente más economico que el Bali Swing, las vistas son increibles y hay una...",5.0,Tegalalang Rice Terrace,4.0
"Estuvimos hospedados hace 10 dias por 3 noches, contratamos en Booking el paquete ""Honeymoon"" para celebrar nuestro aniversario de bodas que incluye 3 noches, ...",5.0,Bliss Ubud Spa Resort,4.0
desconocido,40.4,Canadá,40.4
desconocido,40.4,Canadá,40.4
desconocido,40.4,Canadá,40.4
desconocido,40.4,Canadá,40.4
desconocido,40.4,Canadá,40.4
desconocido,40.4,Canadá,40.4
desconocido,40.4,Canadá,40.4
desconocido,40.4,Canadá,40.4
desconocido,40.4,Dubái,40.4
desconocido,40.4,Dubái,40.4
desconocido,40.4,Dubái,40.4
desconocido,40.4,Dubái,40.4
desconocido,40.4,Dubái,40.4
"Nos tramitaron nuestras visas (somos mexicanos) para Dubai en muy poco tiempo, primero envias documentos en su página, te mandan una liga para el pago, lo reail...",5.0,Dubai Private Tour,5.0
desconocido,40.4,Turquía,40.4
desconocido,40.4,Turquía,40.4
desconocido,40.4,Dubái,40.4
desconocido,40.4,Dubái,40.4
desconocido,40.4,Dubái,40.4
desconocido,40.4,Dubái,40.4
desconocido,40.4,Dubái,40.4
desconocido,40.4,Emiratos Árabes Unidos,40.4
desconocido,40.4,Dubái,40.4
desconocido,40.4,Dubái,40.4
desconocido,40.4,Dubái,40.4
desconocido,40.4,Dubái,40.4
desconocido,40.4,Dubái,40.4
desconocido,40.4,Dubái,40.4
desconocido,40.4,Dubái,40.4
desconocido,40.4,Dubái,40.4
desconocido,40.4,Dubái,40.4
desconocido,40.4,Dubái,40.4
desconocido,40.4,Shanghái,40.4
"La ubicación está a unos 30 o 40 min de donde despegan los globos, los cuartos limpios, pedimos cama matrimonial y nos dieron camas separadas y no hubo cuartos ...",3.0,Crystal Kaymakli Hotel & Spa,3.0
"Se me hizo pequeña, o tal vez fue que junto con nuestro tour llegaron simultaneamente otros 2 autobuses de tal manera que a donde te movieras habia gente. NO r...",3.0,Kaymakli Underground City,4.5
"Es toda una experiencia, recomendado para pasar unas 2 horas mínimo, hay tienda de souvenirs y en el estacionamiento donde aparcan los autobuses turisticos hay ...",5.0,Urgup Museum,4.5
