"A great place to swim without getting beat up by the waves,good shade! A local beach and not crowded.",4.0,Playa los Muertos,4.5
desconocido,40.4,Siem Reap,40.4
desconocido,40.4,Siem Reap,40.4
desconocido,40.4,Siem Reap,40.4
desconocido,40.4,Siem Reap,40.4
desconocido,40.4,Siem Reap,40.4
desconocido,40.4,Siem Reap,40.4
desconocido,40.4,Siem Reap,40.4
desconocido,40.4,Siem Reap,40.4
desconocido,40.4,Siem Reap,40.4
desconocido,40.4,Siem Reap,40.4
desconocido,40.4,Siem Reap,40.4
desconocido,40.4,Siem Reap,40.4
desconocido,40.4,Camboya,40.4
desconocido,40.4,Siem Reap,40.4
desconocido,40.4,Siem Reap,40.4
desconocido,40.4,Siem Reap,40.4
desconocido,40.4,Siem Reap,40.4
