"Our family of 6 adults, one teen and two kids ages 5 and 10 spent a couple of hours there last week. Generally I would say its in pretty sad repair and kind of ...",3.0,Aquaventuras Park,4.0
"We've just returned from a week spending Xmas with extended family at the Flamingos. This is the third all inclusive hotel experience we've had and, by far, the...",5.0,Villa Del Palmar Flamingos Beach Resort & Spa Riviera Nayarit,4.5
"We loved the pizza, pasta and the hugest calzone we'd ever seen. Wish they served alcohol or juice instead of just water or pop and that the seating was a bit m...",5.0,Pizza Venezia,4.5
desconocido,40.4,Nuevo Vallarta,40.4
desconocido,40.4,Sayulita,40.4
desconocido,40.4,Sayulita,40.4
desconocido,40.4,Sayulita,40.4
desconocido,40.4,Sayulita,40.4
"After reading all the great reviews here, I knew I had to book a tour with Edventures. Bonnie was very helpful over the email, answering all my questions and ...",5.0,Edventure Tours,5.0
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
I've stayed at this hotel a couple of times in the past year. We chose it because they offer suites with separate bedrooms and we travel with a teen and a toddl...,3.0,Rosedale On Robson,4.0
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
desconocido,40.4,Playa del Carmen,40.4
