"La comida es deliciosa en especial nos encanta el choripan acompañado de una papa al horno . Y los precios de lujo, entre semana tienen unos paquetes muy buenos...",5.0,Insoportablemente Argentino,4.0
"Se encuentra en remodelación y él área de comida es muy pequeña, los desayunos solo han sido Sándwiches cono plato fuerte, en general esta bien y el servicio es...",3.0,City Express Junior Mexicali,4.0
"Mi segunda visita y todo está súper bien, desde el precio hasta la atención. Sin duda alguna recomiendo que conozcan esta gran aventura.",5.0,Bicentenario Todo Terreno,4.0
"El lugar pareciera por fuera una fonda, pero la verdad es que al llegar los alimentos se te olvida la decoración, la comida es buena, basta y bien presentada, e...",4.0,El Chile Habanero Restaurante,4.5
"Un hotel muy viejo y sucio, huele muy mal y no tienen nada que ver las fotografías de su galería con la realidad, el aire acondicionado hace mucho ruido toda la...",1.0,Hotel Colonial,4.0
"Si buscan comida realmente regional, este restaurante es lo mejor de lo mejor, buen precio, excelente servicio, cantidad inmejorable, muy bien ubicado, la atenc...",5.0,La Chaya Maya,4.5
"Las instalaciones del hotel en general están ""bien"" aunque no me parece que siendo un hotel tan grande solo se tenga una zona de elevadores, la gente de la terc...",2.0,Hotel Riu Jalisco,3.5
"En mi parecer es uno de los lugares naturales más hermosos del mundo, la claridad de sus aguas y la playa escondida son excepcionales. Lo recomiendo con los ojo...",5.0,Islas Marietas,4.5
"Es uno de los lugares que mas me gustan, nadar con las tortugas fue memorable, es una playa limpia y tranquila.",5.0,Akumal Dive Center,4.5
"Mi esposa y yo compramos hace un año la membresia de la cadena hotelera, este hotel no lo conocíamos y decidimos ir en nuestras vacaciones para conocerlo, estuv...",2.0,Grand Oasis Cancun,3.5
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
desconocido,40.4,Chiapas,40.4
